` Copyright (c) 2022 VMware, Inc. All Rights Reserved.
` SPDX-License-Identifier: Apache-2.0
`
` lines beginning with "`" are treated as comments
`
` the first column is the guest ID
`
` the second column is the Go-formatted field name suffix that will be appended
` to VirtualMachineGuestOSIdentifier. For example:
`
`    dosGuest,DosGuest
`
` becomes VirtualMachineGuestOSIdentifierDosGuest = "dosGuest"

dosGuest,DosGuest
win31Guest,Win31Guest
win95Guest,Win95Guest
win98Guest,Win98Guest
winMeGuest,WinMeGuest
winNTGuest,WinNTGuest
win2000ProGuest,Win2000ProGuest
win2000ServGuest,Win2000ServGuest
win2000AdvServGuest,Win2000AdvServGuest
winXPHomeGuest,WinXPHomeGuest
winXPProGuest,WinXPProGuest
winXPPro64Guest,WinXPPro64Guest
winNetWebGuest,WinNetWebGuest
winNetStandardGuest,WinNetStandardGuest
winNetEnterpriseGuest,WinNetEnterpriseGuest
winNetDatacenterGuest,WinNetDatacenterGuest
winNetBusinessGuest,WinNetBusinessGuest
winNetStandard64Guest,WinNetStandard64Guest
winNetEnterprise64Guest,WinNetEnterprise64Guest
winLonghornGuest,WinLonghornGuest
winLonghorn64Guest,WinLonghorn64Guest
winNetDatacenter64Guest,WinNetDatacenter64Guest
winVistaGuest,WinVistaGuest
winVista64Guest,WinVista64Guest
windows7Guest,Windows7Guest
windows7_64Guest,Windows7_64Guest
windows7Server64Guest,Windows7Server64Guest
windows8Guest,Windows8Guest
windows8_64Guest,Windows8_64Guest
windows8Server64Guest,Windows8Server64Guest
windows9Guest,Windows9Guest
windows9_64Guest,Windows9_64Guest
windows9Server64Guest,Windows9Server64Guest
windows11_64Guest,Windows11_64Guest
windows12_64Guest,Windows12_64Guest
windowsHyperVGuest,WindowsHyperVGuest
windows2019srv_64Guest,Windows2019srv_64Guest
windows2019srvNext_64Guest,Windows2019srvNext_64Guest
windows2022srvNext_64Guest,Windows2022srvNext_64Guest
freebsdGuest,FreebsdGuest
freebsd64Guest,Freebsd64Guest
freebsd11Guest,Freebsd11Guest
freebsd11_64Guest,Freebsd11_64Guest
freebsd12Guest,Freebsd12Guest
freebsd12_64Guest,Freebsd12_64Guest
freebsd13Guest,Freebsd13Guest
freebsd13_64Guest,Freebsd13_64Guest
freebsd14Guest,Freebsd14Guest
freebsd14_64Guest,Freebsd14_64Guest
redhatGuest,RedhatGuest
rhel2Guest,Rhel2Guest
rhel3Guest,Rhel3Guest
rhel3_64Guest,Rhel3_64Guest
rhel4Guest,Rhel4Guest
rhel4_64Guest,Rhel4_64Guest
rhel5Guest,Rhel5Guest
rhel5_64Guest,Rhel5_64Guest
rhel6Guest,Rhel6Guest
rhel6_64Guest,Rhel6_64Guest
rhel7Guest,Rhel7Guest
rhel7_64Guest,Rhel7_64Guest
rhel8_64Guest,Rhel8_64Guest
rhel9_64Guest,Rhel9_64Guest
centosGuest,CentosGuest
centos64Guest,Centos64Guest
centos6Guest,Centos6Guest
centos6_64Guest,Centos6_64Guest
centos7Guest,Centos7Guest
centos7_64Guest,Centos7_64Guest
centos8_64Guest,Centos8_64Guest
centos9_64Guest,Centos9_64Guest
oracleLinuxGuest,OracleLinuxGuest
oracleLinux64Guest,OracleLinux64Guest
oracleLinux6Guest,OracleLinux6Guest
oracleLinux6_64Guest,OracleLinux6_64Guest
oracleLinux7Guest,OracleLinux7Guest
oracleLinux7_64Guest,OracleLinux7_64Guest
oracleLinux8_64Guest,OracleLinux8_64Guest
oracleLinux9_64Guest,OracleLinux9_64Guest
suseGuest,SuseGuest
suse64Guest,Suse64Guest
slesGuest,SlesGuest
sles64Guest,Sles64Guest
sles10Guest,Sles10Guest
sles10_64Guest,Sles10_64Guest
sles11Guest,Sles11Guest
sles11_64Guest,Sles11_64Guest
sles12Guest,Sles12Guest
sles12_64Guest,Sles12_64Guest
sles15_64Guest,Sles15_64Guest
sles16_64Guest,Sles16_64Guest
nld9Guest,Nld9Guest
oesGuest,OesGuest
sjdsGuest,SjdsGuest
mandrakeGuest,MandrakeGuest
mandrivaGuest,MandrivaGuest
mandriva64Guest,Mandriva64Guest
turboLinuxGuest,TurboLinuxGuest
turboLinux64Guest,TurboLinux64Guest
ubuntuGuest,UbuntuGuest
ubuntu64Guest,Ubuntu64Guest
debian4Guest,Debian4Guest
debian4_64Guest,Debian4_64Guest
debian5Guest,Debian5Guest
debian5_64Guest,Debian5_64Guest
debian6Guest,Debian6Guest
debian6_64Guest,Debian6_64Guest
debian7Guest,Debian7Guest
debian7_64Guest,Debian7_64Guest
debian8Guest,Debian8Guest
debian8_64Guest,Debian8_64Guest
debian9Guest,Debian9Guest
debian9_64Guest,Debian9_64Guest
debian10Guest,Debian10Guest
debian10_64Guest,Debian10_64Guest
debian11Guest,Debian11Guest
debian11_64Guest,Debian11_64Guest
debian12Guest,Debian12Guest
debian12_64Guest,Debian12_64Guest
asianux3Guest,Asianux3Guest
asianux3_64Guest,Asianux3_64Guest
asianux4Guest,Asianux4Guest
asianux4_64Guest,Asianux4_64Guest
asianux5_64Guest,Asianux5_64Guest
asianux7_64Guest,Asianux7_64Guest
asianux8_64Guest,Asianux8_64Guest
asianux9_64Guest,Asianux9_64Guest
opensuseGuest,OpensuseGuest
opensuse64Guest,Opensuse64Guest
fedoraGuest,FedoraGuest
fedora64Guest,Fedora64Guest
coreos64Guest,Coreos64Guest
vmwarePhoton64Guest,VmwarePhoton64Guest
other24xLinuxGuest,Other24xLinuxGuest
other26xLinuxGuest,Other26xLinuxGuest
otherLinuxGuest,OtherLinuxGuest
other3xLinuxGuest,Other3xLinuxGuest
other4xLinuxGuest,Other4xLinuxGuest
other5xLinuxGuest,Other5xLinuxGuest
other6xLinuxGuest,Other6xLinuxGuest
genericLinuxGuest,GenericLinuxGuest
other24xLinux64Guest,Other24xLinux64Guest
other26xLinux64Guest,Other26xLinux64Guest
other3xLinux64Guest,Other3xLinux64Guest
other4xLinux64Guest,Other4xLinux64Guest
other5xLinux64Guest,Other5xLinux64Guest
other6xLinux64Guest,Other6xLinux64Guest
otherLinux64Guest,OtherLinux64Guest
solaris6Guest,Solaris6Guest
solaris7Guest,Solaris7Guest
solaris8Guest,Solaris8Guest
solaris9Guest,Solaris9Guest
solaris10Guest,Solaris10Guest
solaris10_64Guest,Solaris10_64Guest
solaris11_64Guest,Solaris11_64Guest
os2Guest,Os2Guest
eComStationGuest,EComStationGuest
eComStation2Guest,EComStation2Guest
netware4Guest,Netware4Guest
netware5Guest,Netware5Guest
netware6Guest,Netware6Guest
openServer5Guest,OpenServer5Guest
openServer6Guest,OpenServer6Guest
unixWare7Guest,UnixWare7Guest
darwinGuest,DarwinGuest
darwin64Guest,Darwin64Guest
darwin10Guest,Darwin10Guest
darwin10_64Guest,Darwin10_64Guest
darwin11Guest,Darwin11Guest
darwin11_64Guest,Darwin11_64Guest
darwin12_64Guest,Darwin12_64Guest
darwin13_64Guest,Darwin13_64Guest
darwin14_64Guest,Darwin14_64Guest
darwin15_64Guest,Darwin15_64Guest
darwin16_64Guest,Darwin16_64Guest
darwin17_64Guest,Darwin17_64Guest
darwin18_64Guest,Darwin18_64Guest
darwin19_64Guest,Darwin19_64Guest
darwin20_64Guest,Darwin20_64Guest
darwin21_64Guest,Darwin21_64Guest
darwin22_64Guest,Darwin22_64Guest
darwin23_64Guest,Darwin23_64Guest
vmkernelGuest,VmkernelGuest
vmkernel5Guest,Vmkernel5Guest
vmkernel6Guest,Vmkernel6Guest
vmkernel65Guest,Vmkernel65Guest
vmkernel7Guest,Vmkernel7Guest
vmkernel8Guest,Vmkernel8Guest
amazonlinux2_64Guest,Amazonlinux2_64Guest
amazonlinux3_64Guest,Amazonlinux3_64Guest
crxPod1Guest,CrxPod1Guest
rockylinux_64Guest,Rockylinux_64Guest
almalinux_64Guest,Almalinux_64Guest
otherGuest,OtherGuest
otherGuest64,OtherGuest64
